"Fonte";"Tema";"Secao";"Subsecao";"Topico";"Sintese";"Contexto"
"carta-de-servicos-ao-usuario-do-inpi.md";"Carta de Servicos";"3 Serviços disponíveis";"";"3 Serviços disponíveis";"A";"Apresentar manifestação em pedido de reconhecimento de indicação geográfica 5 Apresentar oposição a pedido de registro de marca 12 Apresentar recurso administrativo contra decisões referentes a pedido de registro de DI (exceto contra indeferimento de pedido de registro) Apresentar recurso administrativo contra decisão de indeferimento de pedido de patente ou de certificado de adição de invenção Apresentar recurso administrativo contra decisão de indeferimento de pedido de reconhecimento de indicação geográfica Apresentar recurso administrativo contra decisão de indeferimento de pedido de registro de desenho industrial Apresentar recurso administrativo contra decisão de arquivamento/cancelamento de pedido/registro de marca 43 Apresentar recurso administrativo contra decisão de indeferimento ou deferimento parcial de pedido de registro de marca Apresentar recurso administrativo contra decisão de indeferimento de pedido de reconhecimento de alto renome em registro de marca Apresentar recurso administrativo contra decisão em petição de processo de marca 62 Apresentar recurso contra decisão de indeferimento de registro de Contrato de transferência de Tecnologia e outros Apresentar subsídios ao exame do pedido de patente 75 Obter a anotação de alteração de nome, sede ou endereço em pedido ou registro de marca 81 Obter a anotação de limitação ou ônus sobre pedido ou registro de marca 87 Obter a anotação de transferência de titularidade de registro de programa de computador 93 Obter a anotação de transferência de titularidade de patente ou de certificado de adição de invenção 99 Obter a anotação de transferência de titularidade de desenho industrial 105 Obter a anotação de transferência de titularidade de registro de topografia de circuitos integrados 111 Obter a anotação de tr..."
"carta-de-servicos-ao-usuario-do-inpi.md";"Carta de Servicos";"4 Solicitar a nulidade administrativa de patente ou de certificado de adição de invenção 167";"";"4 Solicitar a nulidade administrativa de patente ou de certificado de adição de invenção 167";"S";"Solicitar a nulidade administrativa de registro de desenho industrial 173 Solicitar a nulidade administrativa de registro de marca 179 Solicitar a oferta de licença de patente para fins de exploração 185 Solicitar a realização de busca e emissão de opinião preliminar sobre patenteabilidade 191 Solicitar a realização de exame internacional preliminar sobre patenteabilidade de acordo com o Tratado de Cooperação em Matéria de Patentes(PCT) Solicitar alterações no certificado de registro ou averbação 204 Solicitar certificado de adição de invenção 210 Solicitar Consulta sobre Contratos de Transferência de Tecnologia 219 Solicitar exame do registro quanto à originalidade ou novidade de desenho industrial 225 Solicitar o depósito de pedido internacional de patentes de acordo com o Tratado de Cooperação em Matéria de Patentes Solicitar o reconhecimento de denominação de origem 238 Solicitar o reconhecimento de alto renome de registro de marca 245 Solicitar o reconhecimento de indicação de procedência 252 Solicitar o registro de desenho industrial 259 Solicitar o registro de marca de produto ou serviço 265 Solicitar o registro de marca de certificação 273 Solicitar o registro de marca coletiva 281 Solicitar o registro de programa de computador 289 Solicitar o registro de topografia de circuitos integrados 296 Solicitar patente de invenção para pedido internacional (PCT) 302 Solicitar patente de invenção 308 Solicitar patente de modelo de utilidade 316 Solicitar patente de modelo de utilidade para pedido internacional (PCT) 324 Solicitar registro e averbação de Contratos de Transferência de Tecnologia 330"
"carta-de-servicos-ao-usuario-do-inpi.md";"Carta de Servicos";"5 Apresentar manifestação em pedido de reconhecimento de indicação geográfica";"";"5 Apresentar manifestação em pedido de reconhecimento de indicação geográfica";"Avaliação: Sem Avaliação O que é? Uma manifestação em pedido de reconhecimento de indicação geográfica corresponde a um documento contendo informações extras – a favor ou em oposição – a um pedido de reconhecimento de indicação de procedência ou de denominação de origem.";"Avaliação: Sem Avaliação O que é? Uma manifestação em pedido de reconhecimento de indicação geográfica corresponde a um documento contendo informações extras – a favor ou em oposição – a um pedido de reconhecimento de indicação de procedência ou de denominação de origem. ALERTA CONTRA FRAUDES: O INPI NÃO ENVIA BOLETOS NEM FAZ COBRANÇAS. LEIA MAIS AQUI Quem pode utilizar este serviço? Podem utilizar esse serviço qualquer pessoa – física ou jurídica – que tenha interesse em manifestar-se em um pedido de reconhecimento de indicação geográfica. É necessário ser cadastrado no Sistema e-INPI. Etapas para a realização deste serviço Etapa 1 - Fazer o login Após o cadastro, realizar o login no Sistema e-INPI. Documentação Documentação em comum para todos os casos Ser cadastrado no Sistema e-INPI. Canais de prestação Web: Inscrever-se Inscrever-se"
"carta-de-servicos-ao-usuario-do-inpi.md";"Carta de Servicos";"6 Acompanhar a regularização dos serviços digitais.";"";"6 Acompanhar a regularização dos serviços digitais.";"Tempo de duração da etapa Não estimado ainda Etapa 2 - Pagar a Guia de Recolhimento da União Emitir e pagar a GRU (relativa ao serviço). Acesse a Tabela de retribuições do INPI .";"Tempo de duração da etapa Não estimado ainda Etapa 2 - Pagar a Guia de Recolhimento da União Emitir e pagar a GRU (relativa ao serviço). Acesse a Tabela de retribuições do INPI . Documentação Documentação em comum para todos os casos Ser cadastrado no Sistema e-INPI. Custos Código 602: Manifestação de terceiros - Serviço prestado por meio eletrônico, pelo Sistema e-IG - R$ 350,00 Canais de prestação Web: Emitir Emitir Acompanhar a regularização dos serviços digitais. Tempo de duração da etapa Não estimado ainda"
"carta-de-servicos-ao-usuario-do-inpi.md";"Carta de Servicos";"7 Etapa 3 - Peticionar";"";"7 Etapa 3 - Peticionar";"Acessar o Sistema e-IG e preencher o formulário eletrônico. Documentação Documentação em comum para todos os casos Dados de identificação do solicitante; Numeração da GRU paga; Petição de manifestação.";"Acessar o Sistema e-IG e preencher o formulário eletrônico. Documentação Documentação em comum para todos os casos Dados de identificação do solicitante; Numeração da GRU paga; Petição de manifestação. Canais de prestação Web: Preencher Preencher Acompanhar a regularização dos serviços digitais. Tempo de duração da etapa Não estimado ainda Etapa 4 - Acompanhar o serviço Para acompanhar o andamento da petição de manifestação em pedido de reconhecimento de indicação geográfica, o usuário deverá consultar a ferramenta “Meus pedidos”, disponível no portal do INPI, a partir do qual o se pode acompanhar a movimentação processual, consultar os conteúdos publicados, acompanhar a realização de exigências e visualizar os documentos enviados. Verifique mais informações sobre o acompanhamento em "" Outras Informações "". Documentação Documentação em comum para todos os casos"
"carta-de-servicos-ao-usuario-do-inpi.md";"Carta de Servicos";"8 Acesso ao Sistema "" Meus Pedidos""";"";"8 Acesso ao Sistema "" Meus Pedidos""";"Canais de prestação Web: Acompanhar Acompanhar Acompanhar a regularização dos serviços digitais. Tempo de duração da etapa Até 18 mês(es) Etapa 5 - Tomar conhecimento da decisão A decisão sobre o reconhecimento de indicação geográfica será publicada na RPI após o exame de mérito.";"Canais de prestação Web: Acompanhar Acompanhar Acompanhar a regularização dos serviços digitais. Tempo de duração da etapa Até 18 mês(es) Etapa 5 - Tomar conhecimento da decisão A decisão sobre o reconhecimento de indicação geográfica será publicada na RPI após o exame de mérito. Ela também poderá ser visualizada pelo usuário através do sistema Busca Web do INPI. Documentação Documentação em comum para todos os casos Acesso à RPI e ao Sistema Busca Web Canais de prestação Web: Consultar Consultar Acompanhar a regularização dos serviços digitais."
"carta-de-servicos-ao-usuario-do-inpi.md";"Carta de Servicos";"9 Tempo de duração da etapa";"";"9 Tempo de duração da etapa";"Não estimado ainda Outras Informações Quanto tempo leva? Não estimado ainda Informações adicionais ao tempo estimado Não há informações adicionais sobre o tempo estimado.";"Não estimado ainda Outras Informações Quanto tempo leva? Não estimado ainda Informações adicionais ao tempo estimado Não há informações adicionais sobre o tempo estimado. Outras Informações de Interesse Instruções sobre acompanhamento de processos O Manual de Indicações Geográficas do INPI disponibiliza informações detalhadas para melhor acompanhamento dos processos. Para acompanhar o andamento da petição de manifestação em pedido de reconhecimento de indicação geográfica, o usuário deverá consultar a ferramenta “Meus pedidos”, disponível no portal do INPI, a partir do qual o se pode acompanhar a movimentação processual, consultar os conteúdos publicados, acompanhar a realização de exigências e visualizar os documentos enviados. No caso, os esclarecimentos do INPI relativos ao conteúdo da petição serão emitidos junto à decisão do pedido de reconhecimento de indicação geográfica. Eventualmente, poderá haver exigência de mérito em relação à manifestação. É também importante acompanhar atentamente o andamento do processo pela consulta à Revista da Propriedade Industrial (RPI), publicada semanalmente às terças-feiras e disponibilizada no portal do INPI. Para informações mais detalhadas sobre o acompanhamento, acesse o Portal do INPI o item “Meus Pedidos” e o subitem “Acompanhar processos em andamento”, disponível aqui . Possíveis Interações Em conformidade com a Tabela de Retribuições dos Serviços Prestados pelo INPI, são admitidas as seguintes interações, por iniciativa do usuário: - Cumprimento de exigência. Código 604 - Cumprimento de exigência decorrente de exame de conformidade em petição – Código 627 - Apresentação de documentos – Código 629 - Manifestação de terceiros em oposição ao pedido de registro de reconhecimento de indicação geográfica – Código 602 - Devolução..."
"carta-de-servicos-ao-usuario-do-inpi.md";"Carta de Servicos";"3022 - Oposição com restrição de alegaçoes - Serviço prestado por meio eletrônico, pelo Sistema e-marcas -valor por classe (com desconto) - R$ 180,00";"";"3022 - Oposição com restrição de alegaçoes - Serviço prestado por meio eletrônico, pelo Sistema e-marcas -valor por classe (com desconto) - R$ 180,00";"Canais de prestação Web: Emitir Emitir Acompanhar a regularização dos serviços digitais e solicitar a devolução do respectivo prazo, se necessário. Tempo de duração da etapa Não estimado ainda Etapa 3 - Peticionar Acessar o Sistema e-Marcas e preencher o formulário eletrônico Documentação Documentação em comum para todos os casos Dados de identificação do solicitante e do pedido ao qual se deseja se opor; Numeração da GRU paga (também indicado como “Nosso número” no boleto); Petição de oposição Canais de prestação Web: Preencher Preencher Acompanhar a regularização dos serviços digitais e solicitar a devolução do...";"Canais de prestação Web: Emitir Emitir Acompanhar a regularização dos serviços digitais e solicitar a devolução do respectivo prazo, se necessário. Tempo de duração da etapa Não estimado ainda Etapa 3 - Peticionar Acessar o Sistema e-Marcas e preencher o formulário eletrônico Documentação Documentação em comum para todos os casos Dados de identificação do solicitante e do pedido ao qual se deseja se opor; Numeração da GRU paga (também indicado como “Nosso número” no boleto); Petição de oposição Canais de prestação Web: Preencher Preencher Acompanhar a regularização dos serviços digitais e solicitar a devolução do respectivo prazo, se necessário. Tempo de duração da etapa Não estimado ainda Etapa 4 - Acompanhar o serviço Para acompanhar o andamento da oposição ao pedido de registro de marca, o usuário deverá consultar o sistema BuscaWeb e a Revista da Propriedade Industrial (RPI). Para informações mais detalhadas sobre o acompanhamento, observe o item "" Acompanhamento de Processos "" do Manual de Marcas do INPI, em ""Outras Informações "". Documentação Documentação em comum para todos os casos Acesso ao Sistema Busca Web. Canais de prestação Web: Acompanhar Acompanhar Acompanhar a regularização dos serviços digitais. Tempo de duração da etapa Até 22 mês(es) Etapa 5 - Tomar conhecimento da decisão A decisão sobre oposição a pedido de registro de marca será publicada na RPI após o exame de mérito do pedido em questão. Ela também poderá ser visualizada pelo usuário através do sistema Busca Web do INPI. Documentação Documentação em comum para todos os casos Acesso à RPI ou ao Sistema Busca Web Canais de prestação Web: Consultar Consultar Acompanhar a regularização dos serviços digitais. Tempo de duração da etapa Até 14 dia(s) corrido(s) Outras Informações Quanto tempo leva? Até..."
